,palavra,frequencia,sentimento
7035,montarei,1,negativo
7036,possou,1,negativo
7037,medico,1,negativo
7038,instou,1,negativo
7039,ed,1,negativo
7040,tou,2,negativo
7041,contrarriada,1,negativo
7042,enxergo,1,negativo
7043,disponibilizado,2,negativo
7044,acabem,1,negativo
7045,lorenzetti,2,negativo
7046,duo,1,negativo
7047,shower,1,negativo
7048,advanced,1,negativo
7049,multitemperaturas,1,negativo
7050,custar,3,negativo
7051,metado,1,negativo
7052,usados,1,negativo
7053,emito,1,negativo
7054,olhei,1,negativo
7055,vagabunda,2,negativo
7056,proposto,2,negativo
7057,radinho,1,negativo
7058,duaa,1,negativo
7059,atrasados,2,negativo
7060,educacao,3,negativo
7061,curricular,1,negativo
7062,cooperacao,1,negativo
7063,prorrogar,1,negativo
7064,neo,1,negativo
7065,perceba,1,negativo
7066,consultei,1,negativo
7067,acusavam,1,negativo
7068,prontas,1,negativo
7069,pedidk,1,negativo
7070,declaro,1,negativo
7071,emcomendado,1,negativo
7072,passarem,1,negativo
7073,qualqer,1,negativo
7074,quiosque,1,negativo
7075,bosch,1,negativo
7076,edta,1,negativo
7077,excessivo,3,negativo
7078,sensivel,1,negativo
7079,confesso,1,negativo
7080,veludo,1,negativo
7081,algem,1,negativo
7082,rapidinho,1,negativo
7083,despachado,6,negativo
7084,mudanca,2,negativo
7085,odio,2,negativo
7086,posiciona,1,negativo
7087,distintos,2,negativo
7088,tester,1,negativo
7089,chingling,1,negativo
7090,colocacao,1,negativo
7091,opaco,1,negativo
7092,brilho,2,negativo
7093,atualizados,1,negativo
7094,fraquinhas,1,negativo
7095,ampolas,1,negativo
7096,perdidos,1,negativo
7097,nora,1,negativo
7098,alegou,1,negativo
7099,vagarosa,1,negativo
7100,graciosidade,1,negativo
7101,especializado,1,negativo
7102,incompetente,1,negativo
7103,entrasse,1,negativo
7104,nespresso,2,negativo
7105,repessando,1,negativo
7106,informas,1,negativo
7107,mecadoria,1,negativo
7108,evitarei,1,negativo
7109,aguento,2,negativo
7110,oh,1,negativo
7111,retangular,1,negativo
7112,intregra,1,negativo
7113,estressar,1,negativo
7114,aumentei,1,negativo
7115,emu,1,negativo
7116,caber,1,negativo
7117,meninas,1,negativo
7118,amaram,1,negativo
7119,arc,1,negativo
7120,estrgado,1,negativo
7121,irreais,1,negativo
7122,questionados,1,negativo
7123,vendidos,3,negativo
7124,armazenado,1,negativo
7125,acessei,1,negativo
7126,identifica,1,negativo
7127,helder,1,negativo
7128,dobrado,3,negativo
7129,altero,1,negativo
7130,devesse,1,negativo
7131,cuidar,1,negativo
7132,desencaixa,1,negativo
7133,facilmente,2,negativo
7134,prestando,1,negativo
7135,transportes,1,negativo
7136,vasilha,1,negativo
7137,racao,1,negativo
7138,nfiscal,2,negativo
7139,nano,1,negativo
7140,titanium,1,negativo
7141,diameu,1,negativo
7142,cabideiro,2,negativo
7143,represente,1,negativo
7144,estelionato,2,negativo
7145,passaros,1,negativo
7146,robozinho,1,negativo
7147,tenso,1,negativo
7148,pitei,1,negativo
7149,antecipadamente,1,negativo
7150,encontro,2,negativo
7151,am,1,negativo
7152,acendendo,1,negativo
7153,acendem,1,negativo
7154,companheiro,1,negativo
7155,fisal,1,negativo
7156,buettner,1,negativo
7157,cipestre,1,negativo
7158,mostrando,3,negativo
7159,bordar,1,negativo
7160,enormes,1,negativo
7161,tdu,1,negativo
7162,desproporcional,2,negativo
7163,redes,3,negativo
7164,sociais,3,negativo
7165,acuvue,1,negativo
7166,oasis,1,negativo
7167,miopia,3,negativo
7168,positivo,6,negativo
7169,nylon,1,negativo
7170,acabada,3,negativo
7171,forneceram,1,negativo
7172,alimentacao,3,negativo
7173,saiam,1,negativo
7174,entornar,1,negativo
7175,fume,1,negativo
7176,arrumam,1,negativo
7177,vinculo,1,negativo
7178,prensa,1,negativo
7179,entramos,1,negativo
7180,voltado,1,negativo
7181,xxxxxxxxxxxxx,1,negativo
7182,organizadoras,4,negativo
7183,malancia,1,negativo
7184,pressor,1,negativo
7185,devolveria,1,negativo
7186,valer,1,negativo
7187,aulas,1,negativo
7188,iniciou,1,negativo
7189,lenta,1,negativo
7190,somando,1,negativo
7191,coloque,1,negativo
7192,comumente,1,negativo
7193,bexigas,1,negativo
7194,havaria,1,negativo
7195,peixes,1,negativo
7196,deseja,2,negativo
7197,demonstrada,2,negativo
7198,acompanhava,1,negativo
7199,saidas,2,negativo
7200,adotou,1,negativo
7201,tornando,1,negativo
7202,relacionamento,2,negativo
7203,raramente,1,negativo
7204,monitor,2,negativo
7205,manuai,1,negativo
7206,ensinando,1,negativo
7207,rolamento,2,negativo
7208,falamos,1,negativo
7209,prolema,1,negativo
7210,pendendo,1,negativo
7211,pederneira,1,negativo
7212,acondicionada,1,negativo
7213,giram,1,negativo
7214,moer,2,negativo
7215,carne,2,negativo
7216,carenagem,3,negativo
7217,mado,1,negativo
7218,transmitir,1,negativo
7219,conserte,1,negativo
7220,enche,1,negativo
7221,desamassar,1,negativo
7222,consumir,1,negativo
7223,acionando,1,negativo
7224,advogada,1,negativo
7225,processaras,2,negativo
7226,onerando,2,negativo
7227,enrolaram,1,negativo
7228,memorias,2,negativo
7229,ppr,1,negativo
7230,ajustada,1,negativo
7231,alinhados,1,negativo
7232,impermeabilizado,1,negativo
7233,crucifixo,1,negativo
7234,divino,1,negativo
7235,eterno,1,negativo
7236,violando,1,negativo
7237,derramando,1,negativo
7238,mapa,1,negativo
7239,rompido,2,negativo
7240,inspirou,1,negativo
7241,vario,1,negativo
7242,salva,1,negativo
7243,rodinha,1,negativo
7244,arrebite,1,negativo
7245,froxa,1,negativo
7246,cee,1,negativo
7247,jacare,1,negativo
7248,joia,1,negativo
7249,escuras,2,negativo
7250,excessiva,2,negativo
7251,ignorando,1,negativo
7252,or,1,negativo
7253,contacta,1,negativo
7254,ventosas,1,negativo
7255,droga,1,negativo
7256,creatinas,1,negativo
7257,shakeira,1,negativo
7258,pasta,2,negativo
7259,notebbok,1,negativo
7260,juz,1,negativo
7261,refeita,1,negativo
7262,enderecado,1,negativo
7263,corrompido,2,negativo
7264,recomendaram,1,negativo
7265,contataria,1,negativo
7266,enntregar,1,negativo
7267,pouquissimos,1,negativo
7268,descosturar,1,negativo
7269,bras,1,negativo
7270,matel,1,negativo
7271,hasbro,1,negativo
7272,encosta,1,negativo
7273,desrespeiro,1,negativo
7274,agirem,1,negativo
7275,lamental,1,negativo
7276,nacionais,1,negativo
7277,cartoes,3,negativo
7278,virtual,4,negativo
7279,resgatar,1,negativo
7280,realizarei,1,negativo
7281,confeccionada,1,negativo
7282,contei,1,negativo
7283,pcs,2,negativo
7284,banheiro,7,negativo
7285,bicarbonato,1,negativo
7286,excelencia,1,negativo
7287,muuuuito,3,negativo
7288,geladeiras,1,negativo
7289,aguenta,2,negativo
7290,constaria,1,negativo
7291,necessitaria,1,negativo
7292,aparador,4,negativo
7293,emitente,1,negativo
7294,evitaria,1,negativo
7295,spider,1,negativo
7296,man,1,negativo
7297,rebites,1,negativo
7298,gastar,1,negativo
7299,ptoduto,2,negativo
7300,corretor,1,negativo
7301,repensar,1,negativo
7302,cacos,2,negativo
7303,dinheito,1,negativo
7304,marcaram,1,negativo
7305,entregua,1,negativo
7306,integra,1,negativo
7307,mostraram,1,negativo
7308,costurado,2,negativo
7309,ressalvas,1,negativo
7310,transportador,3,negativo
7311,barbie,1,negativo
7312,recebinum,1,negativo
7313,exclarecimento,1,negativo
7314,casais,1,negativo
7315,retrovisores,1,negativo
7316,prejudicada,1,negativo
7317,bone,1,negativo
7318,joyce,1,negativo
7319,bussola,2,negativo
7320,ceramica,1,negativo
7321,desembalar,1,negativo
7322,batida,1,negativo
7323,trincas,1,negativo
7324,equivocou,1,negativo
7325,omissa,1,negativo
7326,julgava,1,negativo
7327,baita,1,negativo
7328,ansioso,2,negativo
7329,logotipo,1,negativo
7330,savana,2,negativo
7331,duracao,1,negativo
7332,parace,1,negativo
7333,roda,3,negativo
7334,qurbrada,1,negativo
7335,oeigem,1,negativo
7336,insastisfeita,1,negativo
7337,res,1,negativo
7338,purodutos,1,negativo
7339,principal,5,negativo
7340,mormaii,1,negativo
7341,acquarela,1,negativo
7342,faculdade,1,negativo
7343,marmita,2,negativo
7344,existir,1,negativo
7345,supostamente,2,negativo
7346,quantas,1,negativo
7347,levado,1,negativo
7348,manifestar,1,negativo
7349,lancha,1,negativo
7350,capo,1,negativo
7351,popa,1,negativo
7352,yamaha,1,negativo
7353,dhea,1,negativo
7354,recycle,1,negativo
7355,naonentregue,1,negativo
7356,disco,1,negativo
7357,plato,1,negativo
7358,nehuma,2,negativo
7359,crer,2,negativo
7360,fundamental,1,negativo
7361,recusado,1,negativo
7362,embacado,1,negativo
7363,placas,4,negativo
7364,sinalizacao,1,negativo
7365,efetue,1,negativo
7366,presunto,1,negativo
7367,guardanapos,1,negativo
7368,desatenciosos,1,negativo
7369,empacado,1,negativo
7370,mause,1,negativo
7371,palito,4,negativo
7372,comorei,2,negativo
7373,vitamina,2,negativo
7374,modulo,2,negativo
7375,leds,1,negativo
7376,sauna,2,negativo
7377,cds,3,negativo
7378,corrijam,1,negativo
7379,agile,1,negativo
7380,bancos,1,negativo
7381,boi,1,negativo
7382,cassio,1,negativo
7383,queremos,1,negativo
7384,negociado,1,negativo
7385,moldura,3,negativo
7386,danificando,1,negativo
7387,concertar,1,negativo
7388,acessivel,1,negativo
7389,ligueipara,1,negativo
7390,edentificado,1,negativo
7391,bb,1,negativo
7392,entregando,2,negativo
7393,proposito,1,negativo
7394,tente,1,negativo
7395,pwla,1,negativo
7396,lavei,2,negativo
7397,pendurada,1,negativo
7398,queimada,1,negativo
7399,fortaleza,3,negativo
7400,ce,2,negativo
7401,bases,2,negativo
7402,sol,1,negativo
7403,carinho,2,negativo
7404,pillow,2,negativo
7405,pram,1,negativo
7406,jantar,1,negativo
7407,erva,1,negativo
7408,joao,3,negativo
7409,oleifeira,1,negativo
7410,naum,2,negativo
7411,conseguirao,1,negativo
7412,hrs,2,negativo
7413,pronto,2,negativo
7414,atrazada,1,negativo
7415,produtoq,1,negativo
7416,ultimamente,2,negativo
7417,repassar,1,negativo
7418,musicas,1,negativo
7419,disfarce,1,negativo
7420,notei,2,negativo
7421,pernas,4,negativo
7422,adificuldade,1,negativo
7423,entregarou,1,negativo
7424,concordo,1,negativo
7425,rimel,1,negativo
7426,tango,1,negativo
7427,aber,1,negativo
7428,esto,4,negativo
7429,pufs,1,negativo
7430,percebia,1,negativo
7431,esvaziando,1,negativo
7432,trocada,1,negativo
7433,pididos,1,negativo
7434,salvatore,1,negativo
7435,kilos,1,negativo
7436,impermeabilizante,1,negativo
7437,dispoe,3,negativo
7438,call,1,negativo
7439,center,1,negativo
7440,possamos,2,negativo
7441,merecemos,1,negativo
7442,tra,1,negativo
7443,naoestou,1,negativo
7444,acontace,1,negativo
7445,curtina,1,negativo
7446,chatiada,1,negativo
7447,antecencia,1,negativo
7448,gramatura,2,negativo
7449,entega,3,negativo
7450,frustado,1,negativo
7451,whals,1,negativo
7452,qirui,1,negativo
7453,veiod,1,negativo
7454,ora,1,negativo
7455,engenheiro,1,negativo
7456,eletricista,1,negativo
7457,acreditando,2,negativo
7458,entradas,1,negativo
7459,estourado,2,negativo
7460,beiradas,1,negativo
7461,goste,3,negativo
7462,gual,1,negativo
7463,margarina,1,negativo
7464,contratado,1,negativo
7465,conferenciado,1,negativo
7466,ameacou,1,negativo
7467,grossei,1,negativo
7468,pratos,5,negativo
7469,nafo,1,negativo
7470,roger,1,negativo
7471,imetro,2,negativo
7472,falsificada,2,negativo
7473,admiro,2,negativo
7474,procurarei,1,negativo
7475,abolca,1,negativo
7476,lascado,2,negativo
7477,ferrari,1,negativo
7478,providenciasr,1,negativo
7479,marcadas,1,negativo
7480,gaveteiro,3,negativo
7481,rastreamentos,1,negativo
7482,cim,1,negativo
7483,mudancas,1,negativo
7484,cuzcuzeira,1,negativo
7485,bwg,2,negativo
7486,esperancas,1,negativo
7487,sofro,1,negativo
7488,muscular,1,negativo
7489,ombro,1,negativo
7490,pescoco,1,negativo
7491,referido,1,negativo
7492,turbopower,1,negativo
7493,moletin,1,negativo
7494,passarao,1,negativo
7495,dio,1,negativo
7496,arrepender,1,negativo
7497,lixoooo,1,negativo
7498,brinquedos,1,negativo
7499,elefantinho,1,negativo
7500,reclamcao,1,negativo
7501,atendidos,1,negativo
7502,baralho,1,negativo
7503,kem,1,negativo
7504,naipes,2,negativo
7505,veiro,1,negativo
7506,ouvidor,1,negativo
7507,detona,1,negativo
7508,construido,1,negativo
7509,sr,1,negativo
7510,diretor,1,negativo
7511,wats,1,negativo
7512,aborda,1,negativo
7513,bivolt,2,negativo
7514,resultando,1,negativo
7515,escrevendo,2,negativo
7516,impossibilidade,1,negativo
7517,responsabiliza,2,negativo
7518,empuerada,1,negativo
7519,rustica,1,negativo
7520,descolada,1,negativo
7521,lixada,1,negativo
7522,envernizada,1,negativo
7523,coador,1,negativo
7524,eviaram,1,negativo
7525,escurece,1,negativo
7526,ambiente,1,negativo
7527,esticando,1,negativo
7528,trocassem,1,negativo
7529,ph,1,negativo
7530,rapid,2,negativo
7531,asp,1,negativo
7532,reti,1,negativo
7533,recuperar,3,negativo
7534,elefante,5,negativo
7535,confiram,1,negativo
7536,expor,1,negativo
7537,apropriada,2,negativo
7538,msn,1,negativo
7539,aumentado,1,negativo
7540,cos,1,negativo
7541,chegamos,1,negativo
7542,chgaram,1,negativo
7543,casos,1,negativo
7544,berloque,2,negativo
7545,bandeira,2,negativo
7546,impermeaveis,2,negativo
7547,messenger,1,negativo
7548,acataram,1,negativo
7549,oxidada,1,negativo
7550,solucoes,1,negativo
7551,pegarem,1,negativo
7552,alternados,1,negativo
7553,obrigatorio,1,negativo
7554,preenchimento,1,negativo
7555,aprazada,1,negativo
7556,burra,1,negativo
7557,ignorante,1,negativo
7558,traviceiro,2,negativo
7559,veste,1,negativo
7560,qrd,1,negativo
7561,imel,1,negativo
7562,restono,1,negativo
7563,querro,1,negativo
7564,estormo,1,negativo
7565,trios,2,negativo
7566,realizamos,1,negativo
7567,xone,1,negativo
7568,todasdanificadas,1,negativo
7569,tanques,1,negativo
7570,lavanderia,1,negativo
7571,financeiro,1,negativo
7572,nutricionista,1,negativo
7573,clientela,1,negativo
7574,mts,3,negativo
7575,recomendava,1,negativo
7576,geta,1,negativo
7577,automatica,3,negativo
7578,escandalosa,1,negativo
7579,desconfortavel,2,negativo
7580,conectam,1,negativo
7581,carregou,1,negativo
7582,empolgada,1,negativo
7583,colares,1,negativo
7584,net,2,negativo
7585,funcionan,1,negativo
7586,garanta,1,negativo
7587,azulejos,1,negativo
7588,rejuntes,1,negativo
7589,lucro,1,negativo
7590,odeio,1,negativo
7591,binoculo,1,negativo
7592,coincidir,1,negativo
7593,legivel,1,negativo
7594,desleixo,1,negativo
7595,umdos,1,negativo
7596,propagana,1,negativo
7597,passaria,1,negativo
7598,ouviu,1,negativo
7599,chamarem,1,negativo
7600,carater,1,negativo
7601,macaco,2,negativo
7602,desenvolver,1,negativo
7603,fustratado,1,negativo
7604,bancarios,1,negativo
7605,lembrando,3,negativo
7606,gigas,2,negativo
7607,perfeicao,1,negativo
7608,emrelacao,1,negativo
7609,competencia,3,negativo
7610,arcar,1,negativo
7611,consequencias,1,negativo
7612,satistacao,1,negativo
7613,recem,1,negativo
7614,coar,1,negativo
7615,fizer,1,negativo
7616,diogo,1,negativo
7617,pem,1,negativo
7618,errad,1,negativo
7619,outr,1,negativo
7620,vz,1,negativo
7621,parafus,1,negativo
7622,pintadas,1,negativo
7623,tabuas,1,negativo
7624,cegado,1,negativo
7625,temprotecao,1,negativo
7626,exposta,1,negativo
7627,falcificado,1,negativo
7628,pego,1,negativo
7629,ebct,1,negativo
7630,zafira,1,negativo
7631,expression,1,negativo
7632,raquetes,1,negativo
7633,instantanea,1,negativo
7634,chaveador,1,negativo
7635,rca,4,negativo
7636,egunda,1,negativo
7637,intes,1,negativo
7638,beje,1,negativo
7639,babado,2,negativo
7640,postergado,1,negativo
7641,saltar,1,negativo
7642,reenviado,2,negativo
7643,aimda,1,negativo
7644,alojas,1,negativo
7645,agem,1,negativo
7646,doze,1,negativo
7647,monitoramento,1,negativo
7648,atualizacoes,1,negativo
7649,diarias,1,negativo
7650,simultaneas,1,negativo
7651,permitido,1,negativo
7652,seca,5,negativo
7653,abaulada,1,negativo
7654,adere,1,negativo
7655,margens,1,negativo
7656,discriminacao,1,negativo
7657,sisal,1,negativo
7658,vu,1,negativo
7659,facial,1,negativo
7660,vibracao,1,negativo
7661,harmonizacao,1,negativo
7662,energy,1,negativo
7663,atrapalhando,1,negativo
7664,desapontamento,1,negativo
7665,corrigir,1,negativo
7666,incriveis,1,negativo
7667,maiils,1,negativo
7668,afiliada,1,negativo
7669,circulares,1,negativo
7670,provenientes,1,negativo
7671,espalhado,1,negativo
7672,adubo,1,negativo
7673,quimico,1,negativo
7674,empedrar,1,negativo
7675,pudemos,1,negativo
7676,optamos,1,negativo
7677,modalidade,1,negativo
7678,expressa,1,negativo
7679,cumprindo,3,negativo
7680,poker,1,negativo
7681,alterei,1,negativo
7682,amola,1,negativo
7683,poos,1,negativo
7684,mineral,1,negativo
7685,resina,1,negativo
7686,calhas,1,negativo
7687,qanto,1,negativo
7688,tosa,1,negativo
7689,nononono,1,negativo
7690,ocasiao,2,negativo
7691,opiniar,1,negativo
7692,fecereiro,1,negativo
7693,fulho,1,negativo
7694,colo,1,negativo
7695,naltika,1,negativo
7696,uber,1,negativo
7697,pedida,1,negativo
7698,identicas,1,negativo
7699,insastifita,1,negativo
7700,nei,1,negativo
7701,asi,1,negativo
7702,estafa,1,negativo
7703,recarregaveis,1,negativo
7704,ademas,1,negativo
7705,dema,1,negativo
7706,adorava,1,negativo
7707,estornarem,1,negativo
7708,deformado,1,negativo
7709,desfiadera,1,negativo
7710,maecadoria,1,negativo
7711,perceiro,1,negativo
7712,nisso,1,negativo
7713,pedsimo,1,negativo
7714,focinheiras,1,negativo
7715,ndegs,2,negativo
7716,velcro,2,negativo
7717,frouxa,1,negativo
7718,sombrancelhas,1,negativo
7719,desmarcaram,1,negativo
7720,entragrao,1,negativo
7721,toltalmente,1,negativo
7722,relatei,1,negativo
7723,ago,1,negativo
7724,violeta,1,negativo
7725,termo,1,negativo
7726,anatel,1,negativo
7727,imei,1,negativo
7728,agendada,1,negativo
7729,quais,2,negativo
7730,presta,3,negativo
7731,estalei,1,negativo
7732,despachar,2,negativo
7733,fantastico,1,negativo
7734,discretas,1,negativo
7735,chegavam,2,negativo
7736,paralama,2,negativo
7737,farol,3,negativo
7738,tornado,2,negativo
7739,campinas,1,negativo
7740,capazes,1,negativo
7741,reenviem,1,negativo
7742,desigual,1,negativo
7743,adquiro,1,negativo
7744,cheiros,1,negativo
7745,maiorla,1,negativo
7746,precisos,1,negativo
7747,sereia,1,negativo
7748,tour,1,negativo
7749,intendi,1,negativo
7750,tremula,1,negativo
7751,terrivel,4,negativo
7752,ajudaram,1,negativo
7753,iniciar,1,negativo
7754,curso,2,negativo
7755,professora,1,negativo
7756,entenderam,1,negativo
7757,estantes,1,negativo
7758,agravante,2,negativo
7759,reparacao,2,negativo
7760,compoem,1,negativo
7761,shptime,2,negativo
7762,reconhecendo,1,negativo
7763,desfiou,2,negativo
7764,ssd,1,negativo
7765,mocho,1,negativo
7766,estrutura,4,negativo
7767,rachando,1,negativo
7768,confirmei,1,negativo
7769,rodizios,1,negativo
7770,estaticos,1,negativo
7771,termicas,1,negativo
7772,utei,1,negativo
7773,estressada,1,negativo
7774,bijuteria,1,negativo
7775,coragem,2,negativo
7776,fitas,1,negativo
7777,conprados,1,negativo
7778,acendeu,1,negativo
7779,fechamento,1,negativo
7780,compensou,1,negativo
7781,paciencia,1,negativo
7782,glutaminas,2,negativo
7783,propolis,1,negativo
7784,alinhamento,1,negativo
7785,bandagem,1,negativo
7786,estepe,1,negativo
7787,avaliada,1,negativo
7788,abrisse,1,negativo
7789,interferir,1,negativo
7790,desistiram,1,negativo
7791,mencionados,1,negativo
7792,envim,1,negativo
7793,cobrqdo,1,negativo
7794,resbe,1,negativo
7795,produti,2,negativo
7796,pranchas,1,negativo
7797,imundas,1,negativo
7798,sujas,2,negativo
7799,sup,1,negativo
7800,inv,1,negativo
7801,shopptime,1,negativo
7802,microfribra,1,negativo
7803,bolca,1,negativo
7804,devolvia,1,negativo
7805,constrangido,1,negativo
7806,caloi,1,negativo
7807,travando,1,negativo
7808,espalhados,1,negativo
7809,nunta,1,negativo
7810,obtendo,1,negativo
7811,pras,1,negativo
7812,cubo,2,negativo
7813,magico,2,negativo
7814,tentava,1,negativo
7815,tercerizar,1,negativo
7816,excedido,2,negativo
7817,difusor,1,negativo
7818,poco,1,negativo
7819,oponiao,1,negativo
7820,gabriel,1,negativo
7821,leao,1,negativo
7822,lembrar,1,negativo
7823,amperes,3,negativo
7824,totalmete,1,negativo
7825,palmilha,1,negativo
7826,sileda,1,negativo
7827,esparramada,1,negativo
7828,temperos,1,negativo
7829,programado,2,negativo
7830,respeitado,1,negativo
7831,furado,2,negativo
7832,esfarelada,1,negativo
7833,precisamente,1,negativo
7834,ponteiros,1,negativo
7835,analogico,1,negativo
7836,pararam,1,negativo
7837,usando,2,negativo
7838,lapis,2,negativo
7839,lembrete,1,negativo
7840,organizador,1,negativo
7841,fluminensevno,1,negativo
7842,postagens,2,negativo
7843,modificado,1,negativo
7844,trinco,1,negativo
7845,formatacao,1,negativo
7846,contactei,1,negativo
7847,arca,1,negativo
7848,onibus,2,negativo
7849,panha,1,negativo
7850,clareza,1,negativo
7851,comecei,2,negativo
7852,mede,1,negativo
7853,estatura,1,negativo
7854,quarenta,1,negativo
7855,reversa,1,negativo
7856,inflado,1,negativo
7857,rocha,1,negativo
7858,miranda,1,negativo
7859,meriti,1,negativo
7860,contabilidade,1,negativo
7861,omitiu,1,negativo
7862,deveras,1,negativo
7863,insatifeita,1,negativo
7864,gases,1,negativo
7865,eim,1,negativo
7866,confiabilidade,2,negativo
7867,compriu,2,negativo
7868,potecde,1,negativo
7869,siteo,1,negativo
7870,satifeita,1,negativo
7871,pegou,1,negativo
7872,fogo,1,negativo
7873,valvula,2,negativo
7874,aerografo,1,negativo
7875,andam,1,negativo
7876,demorei,1,negativo
7877,polyester,1,negativo
7878,fininha,1,negativo
7879,transport,1,negativo
7880,protege,1,negativo
7881,eventual,1,negativo
7882,produtor,1,negativo
7883,estoura,1,negativo
7884,cadastrar,1,negativo
7885,otg,1,negativo
7886,type,1,negativo
7887,z,4,negativo
7888,oneplus,1,negativo
7889,seio,1,negativo
7890,trasado,1,negativo
7891,desbotada,1,negativo
7892,opaca,1,negativo
7893,manifestou,3,negativo
7894,perfumada,1,negativo
7895,perfumado,1,negativo
7896,lombo,1,negativo
7897,burro,1,negativo
7898,melhorem,2,negativo
7899,recuso,1,negativo
7900,shiatzu,1,negativo
7901,repetida,1,negativo
7902,sifao,1,negativo
7903,coletor,1,negativo
7904,apresentando,2,negativo
7905,borrando,1,negativo
7906,aancheira,1,negativo
7907,transtornoterrivel,1,negativo
7908,colchonete,2,negativo
7909,densidade,1,negativo
7910,anciosamente,1,negativo
7911,eminente,1,negativo
7912,estreita,1,negativo
7913,nela,1,negativo
7914,emcima,1,negativo
7915,assustou,1,negativo
7916,deeuma,1,negativo
7917,genesis,1,negativo
7918,adaptou,1,negativo
7919,retornaou,2,negativo
7920,slim,3,negativo
7921,patch,1,negativo
7922,instantly,1,negativo
7923,ageless,1,negativo
7924,resolucoes,1,negativo
7925,muletas,1,negativo
7926,muleta,1,negativo
7927,at,2,negativo
7928,bloquados,1,negativo
7929,acess,1,negativo
7930,necessarios,1,negativo
7931,produo,1,negativo
7932,revoflex,1,negativo
7933,conexoes,1,negativo
7934,expansao,1,negativo
7935,aguando,1,negativo
7936,gasta,1,negativo
7937,noseclean,1,negativo
7938,transicao,2,negativo
7939,ba,1,negativo
7940,vamoresolver,1,negativo
7941,cook,1,negativo
7942,top,1,negativo
7943,divide,1,negativo
7944,envios,1,negativo
7945,ativar,1,negativo
7946,ceular,1,negativo
7947,pta,1,negativo
7948,recibe,1,negativo
7949,contacto,1,negativo
7950,levem,1,negativo
7951,incorretamente,3,negativo
7952,xz,1,negativo
7953,antecipar,1,negativo
7954,eventuais,1,negativo
7955,imprevistos,1,negativo
7956,fsltou,1,negativo
7957,matelasada,1,negativo
7958,nude,1,negativo
7959,encomendara,1,negativo
7960,rastriei,1,negativo
7961,cumprio,1,negativo
7962,superbonder,1,negativo
7963,produro,3,negativo
7964,nenbuma,1,negativo
7965,publica,1,negativo
7966,diamantada,1,negativo
7967,mandato,1,negativo
7968,veicular,2,negativo
7969,belkin,1,negativo
7970,entregaro,1,negativo
7971,consumido,2,negativo
7972,tocar,1,negativo
7973,reproduzindo,1,negativo
7974,marquei,1,negativo
7975,ata,1,negativo
7976,tais,1,negativo
7977,testador,2,negativo
7978,conectores,2,negativo
7979,comercializados,1,negativo
7980,traviseiro,1,negativo
7981,sobrou,1,negativo
7982,anida,1,negativo
7983,trampolim,1,negativo
7984,pilates,1,negativo
7985,revoltante,1,negativo
7986,ess,1,negativo
7987,atingido,1,negativo
7988,espanada,1,negativo
7989,monitoram,1,negativo
7990,tds,1,negativo
7991,profutos,1,negativo
7992,daqueles,1,negativo
7993,camelos,2,negativo
7994,consultando,1,negativo
7995,menu,1,negativo
7996,lojistica,1,negativo
7997,basica,1,negativo
7998,conhecimento,1,negativo
7999,duplicata,1,negativo
8000,dessas,2,negativo
8001,arrasta,1,negativo
8002,assistindo,1,negativo
8003,espectativas,1,negativo
8004,violacao,1,negativo
8005,derramou,1,negativo
8006,possivelmente,1,negativo
8007,extravio,2,negativo
8008,conosco,2,negativo
8009,vinculada,2,negativo
8010,caramelo,1,negativo
8011,flores,2,negativo
8012,horrorosos,1,negativo
8013,feios,1,negativo
8014,joga,3,negativo
8015,empurra,1,negativo
8016,sanitario,1,negativo
8017,ecopatio,1,negativo
8018,fluido,1,negativo
8019,irritante,1,negativo
8020,sumil,1,negativo
8021,retomam,1,negativo
8022,ol,1,negativo
8023,traseira,2,negativo
8024,alegacao,2,negativo
8025,alegada,1,negativo
8026,deparo,1,negativo
8027,conpra,1,negativo
8028,uo,1,negativo
8029,vouta,1,negativo
8030,markeplace,1,negativo
8031,advogado,1,negativo
8032,avidado,1,negativo
8033,extremidade,1,negativo
8034,arrebentou,1,negativo
8035,desfez,2,negativo
8036,marcio,1,negativo
8037,avisarao,1,negativo
8038,veria,1,negativo
8039,submetida,1,negativo
8040,ocasional,1,negativo
8041,estenderam,1,negativo
8042,mrsmo,1,negativo
8043,clock,1,negativo
8044,nojento,1,negativo
8045,estoquei,1,negativo
8046,suspeito,1,negativo
8047,esclarecer,5,negativo
8048,cases,1,negativo
8049,imcompleto,1,negativo
8050,eli,1,negativo
8051,diferenciando,1,negativo
8052,game,1,negativo
8053,intimidada,1,negativo
8054,registrei,1,negativo
8055,logisca,1,negativo
8056,retratacao,1,negativo
8057,preeto,1,negativo
8058,tecnico,1,negativo
8059,impressoras,1,negativo
8060,gastasse,1,negativo
8061,hc,1,negativo
8062,ultrapassada,1,negativo
8063,manifestaram,1,negativo
8064,preste,1,negativo
8065,internacional,1,negativo
8066,agregado,1,negativo
8067,pergunt,1,negativo
8068,qui,1,negativo
8069,muitooooo,1,negativo
8070,demoradaa,1,negativo
8071,nual,1,negativo
8072,veu,3,negativo
8073,fanatico,1,negativo
8074,apagadas,2,negativo
8075,alegava,1,negativo
8076,aceitou,1,negativo
8077,desencontros,1,negativo
8078,londrina,1,negativo
8079,ilustrados,1,negativo
8080,bafo,1,negativo
8081,comporta,2,negativo
