,palavra,frequencia,sentimento
866,cumpriram,11,negativo
867,apos,124,negativo
868,ineficiente,1,negativo
869,cx,11,negativo
870,aberta,15,negativo
871,descontentamento,2,negativo
872,quantidade,38,negativo
873,quantidades,3,negativo
874,escova,13,negativo
875,marca,90,negativo
876,pessimos,5,negativo
877,atendimentos,1,negativo
878,parceira,23,negativo
879,neste,15,negativo
880,formulario,4,negativo
881,recomendar,23,negativo
882,aguardar,25,negativo
883,gente,12,negativo
884,fasso,2,negativo
885,novo,36,negativo
886,loa,1,negativo
887,cumpriu,25,negativo
888,recebo,47,negativo
889,decidi,3,negativo
890,custo,8,negativo
891,adicional,1,negativo
892,semana,59,negativo
893,aceitei,5,negativo
894,desejados,1,negativo
895,envelope,20,negativo
896,puro,3,negativo
897,golpe,5,negativo
898,policia,3,negativo
899,solicitar,17,negativo
900,modeo,1,negativo
901,deixaram,10,negativo
902,porq,3,negativo
903,cobram,3,negativo
904,ir,75,negativo
905,buscar,72,negativo
906,agencia,33,negativo
907,defeitos,24,negativo
908,oq,10,negativo
909,plasticos,4,negativo
910,forravamos,1,negativo
911,mesas,3,negativo
912,colegio,1,negativo
913,favor,81,negativo
914,facam,3,negativo
915,deste,35,negativo
916,priduto,2,negativo
917,percebi,15,negativo
918,destaque,2,negativo
919,dimensoes,3,negativo
920,recomendado,8,negativo
921,responder,25,negativo
922,voltagem,24,negativo
923,torto,8,negativo
924,soldas,1,negativo
925,feitas,3,negativo
926,realiza,2,negativo
927,promete,10,negativo
928,instalado,6,negativo
929,fica,77,negativo
930,seguindo,3,negativo
931,instrucoes,16,negativo
932,vale,62,negativo
933,pena,28,negativo
934,jogado,10,negativo
935,atrasada,35,negativo
936,solda,5,negativo
937,urgencia,43,negativo
938,deve,37,negativo
939,origiaal,1,negativo
940,simplismente,1,negativo
941,gota,3,negativo
942,base,49,negativo
943,tubinho,1,negativo
944,plastico,70,negativo
945,verdadeiramente,1,negativo
946,enganacao,6,negativo
947,esquema,1,negativo
948,fracasso,1,negativo
949,aparece,37,negativo
950,queria,58,negativo
951,atenciosamente,5,negativo
952,juliana,3,negativo
953,demonstrava,2,negativo
954,imagem,62,negativo
955,central,26,negativo
956,avariada,2,negativo
957,ficou,69,negativo
958,pequena,17,negativo
959,cobriu,3,negativo
960,cooktoop,1,negativo
961,apesar,69,negativo
962,propaganda,65,negativo
963,hp,44,negativo
964,colorido,24,negativo
965,reconhece,10,negativo
966,solicito,75,negativo
967,reclame,11,negativo
968,queixas,2,negativo
969,condicoes,19,negativo
970,kit,172,negativo
971,chupeta,2,negativo
972,esterilizador,5,negativo
973,vapor,2,negativo
974,microondas,3,negativo
975,philips,7,negativo
976,avent,1,negativo
977,funcionou,41,negativo
978,dispositivos,1,negativo
979,confirmando,2,negativo
980,compatibilidae,1,negativo
981,cabos,12,negativo
982,femea,2,negativo
983,windows,3,negativo
984,poder,15,negativo
985,avaliado,1,negativo
986,lencol,52,negativo
987,branco,40,negativo
988,elastico,12,negativo
989,fico,30,negativo
990,prejuizo,28,negativo
991,mbp,1,negativo
992,fornecido,2,negativo
993,reclamei,33,negativo
994,emblema,1,negativo
995,ponta,4,negativo
996,cabeca,17,negativo
997,invertido,2,negativo
998,contem,9,negativo
999,avaria,11,negativo
1000,atraves,23,negativo
1001,estoque,129,negativo
1002,descontado,11,negativo
1003,iso,1,negativo
1004,x,25,negativo
1005,nitro,2,negativo
1006,hard,2,negativo
1007,reclamacoes,25,negativo
1008,duvidas,11,negativo
1009,obter,17,negativo
1010,atraso,182,negativo
1011,diretamente,4,negativo
1012,precisei,8,negativo
1013,entrar,111,negativo
1014,intrrmediar,1,negativo
1015,parecia,18,negativo
1016,usado,38,negativo
1017,dvds,2,negativo
1018,quebrada,55,negativo
1019,borda,5,negativo
1020,outros,68,negativo
1021,lacrados,1,negativo
1022,brinde,2,negativo
1023,pelucia,7,negativo
1024,creeper,1,negativo
1025,minecraft,1,negativo
1026,liga,28,negativo
1027,sac,21,negativo
1028,consegue,19,negativo
1029,cartuchos,51,negativo
1030,solucao,105,negativo
1031,sucesso,17,negativo
1032,resumi,1,negativo
1033,sentimentos,1,negativo
1034,relacao,33,negativo
1035,retirada,16,negativo
1036,aguardado,5,negativo
1037,cajamar,3,negativo
1038,estraviou,3,negativo
1039,protetor,8,negativo
1040,porta,28,negativo
1041,jogos,28,negativo
1042,solteiro,16,negativo
1043,continuo,27,negativo
1044,incompleto,56,negativo
1045,desacordo,3,negativo
1046,vir,20,negativo
1047,pg,4,negativo
1048,cartuchu,1,negativo
1049,color,4,negativo
1050,doi,1,negativo
1051,ag,4,negativo
1052,informam,7,negativo
1053,esperei,26,negativo
1054,esperanca,4,negativo
1055,algum,35,negativo
1056,venha,6,negativo
1057,resolvido,29,negativo
1058,smartphone,4,negativo
1059,nesta,20,negativo
1060,porque,201,negativo
1061,deixar,11,negativo
1062,carregando,5,negativo
1063,inteiro,7,negativo
1064,ouvir,3,negativo
1065,musica,6,negativo
1066,enquanto,33,negativo
1067,carrega,9,negativo
1068,desliga,4,negativo
1069,permaneceu,1,negativo
1070,alguns,21,negativo
1071,podia,2,negativo
1072,onde,80,negativo
1073,efetuo,2,negativo
1074,reparo,2,negativo
1075,certeza,18,negativo
1076,receberei,13,negativo
1077,simples,41,negativo
1078,servico,36,negativo
1079,recomendada,5,negativo
1080,vista,17,negativo
1081,vinha,4,negativo
1082,travesseiro,19,negativo
1083,misera,2,negativo
1084,tesoura,14,negativo
1085,comprometeu,2,negativo
1086,manda,18,negativo
1087,email,152,negativo
1088,tranquilizar,2,negativo
1089,mau,14,negativo
1090,providencias,52,negativo
1091,intacto,3,negativo
1092,coloquei,16,negativo
1093,aspirador,7,negativo
1094,tomada,14,negativo
1095,ascendedor,1,negativo
1096,cigarros,1,negativo
1097,conectado,5,negativo
1098,embora,23,negativo
1099,previstas,3,negativo
1100,requeiro,4,negativo
1101,verificacao,3,negativo
1102,acerto,2,negativo
1103,pineng,1,negativo
1104,codigos,2,negativo
1105,falsificados,6,negativo
1106,algo,43,negativo
1107,falsificado,43,negativo
1108,camelo,8,negativo
1109,lojinha,1,negativo
1110,mola,1,negativo
1111,apoio,8,negativo
1112,resto,7,negativo
1113,perfeita,8,negativo
1114,aberto,20,negativo
1115,chamado,13,negativo
1116,recebido,110,negativo
1117,chateada,45,negativo
1118,comigo,46,negativo
1119,filha,24,negativo
1120,escola,3,negativo
1121,toalhas,46,negativo
1122,karsten,1,negativo
1123,tolhas,1,negativo
1124,mostrado,10,negativo
1125,auricular,1,negativo
1126,cerca,5,negativo
1127,danificada,13,negativo
1128,rachada,3,negativo
1129,pedaco,3,negativo
1130,retorna,12,negativo
1131,ressarcimento,25,negativo
1132,responde,30,negativo
1133,envia,12,negativo
1134,via,35,negativo
1135,boleem,1,negativo
1136,quer,36,negativo
1137,oslit,2,negativo
1138,prestigi,1,negativo
1139,sabado,8,negativo
1140,sexta,6,negativo
1141,feira,11,negativo
1142,caixinha,7,negativo
1143,motivo,69,negativo
1144,similar,17,negativo
1145,perguntar,7,negativo
1146,msgs,1,negativo
